============= Dilithium-III
[0m[1;31m     LWE instance generation    [0m
n=1280	m=1536	q=8380417
dim = 2654, m = 1373, dvol = 19371.02384334926, β = 623.6116

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 60, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:        2, (  57,   4): (  50, 100) --> (1499,   1), goal index:     1363, cost = 
 index:        3, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1366, cost = 
 index:        4, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1394, cost = 
 index:        5, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1399, cost = 
 index:        6, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1405, cost = 
 index:        7, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1375, cost = 
 index:        8, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1403, cost = 
 index:        9, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1422, cost = 
 index:       10, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1426, cost = 
 index:       11, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1448, cost = 
 index:       12, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1436, cost = 
 index:       13, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1454, cost = 
 index:       14, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1478, cost = 
 index:       15, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1458, cost = 
 index:       16, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1386, cost = 
 index:       17, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1414, cost = 
 index:       18, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1433, cost = 
 index:       19, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1437, cost = 
 index:       20, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1456, cost = 
 index:       21, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1475, cost = 
 index:       22, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1463, cost = 
 index:       23, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1480, cost = 
 index:       24, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1504, cost = 
 index:       25, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1465, cost = 
 index:       26, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1484, cost = 
 index:       27, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1402, cost = 
 index:       28, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1429, cost = 
 index:       29, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1448, cost = 
 index:       30, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1452, cost = 
 index:       31, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1471, cost = 
 index:       32, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1490, cost = 
 index:       33, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1478, cost = 
 index:       34, (  58,   4): (  51, 100) --> (1499,   1), goal index:     1497, cost = 
 index:       35, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1504, cost = 
 index:       36, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1528, cost = 
 index:       37, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1489, cost = 
 index:       38, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1507, cost = 
 index:       39, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1529, cost = 
 index:       40, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1546, cost = 
 index:       41, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1502, cost = 
 index:       42, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1521, cost = 
 index:       43, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1540, cost = 
 index:       44, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1423, cost = 
 index:       45, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1450, cost = 
 index:       46, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1469, cost = 
 index:       47, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1488, cost = 
 index:       48, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1490, cost = 
 index:       49, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1509, cost = 
 index:       50, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1528, cost = 
 index:       51, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1548, cost = 
 index:       52, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1513, cost = 
 index:       53, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1532, cost = 
 index:       54, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1539, cost = 
 index:       55, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1561, cost = 
 index:       56, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1577, cost = 
 index:       57, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1526, cost = 
 index:       58, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1544, cost = 
 index:       59, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1563, cost = 
 index:       60, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1582, cost = 
 index:       61, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1598, cost = 
 index:       62, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1540, cost = 
 index:       63, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1559, cost = 
 index:       64, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1578, cost = 
 index:       65, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1445, cost = 
 index:       66, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1472, cost = 
 index:       67, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1491, cost = 
 index:       68, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1510, cost = 
 index:       69, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1512, cost = 
 index:       70, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1531, cost = 
 index:       71, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1550, cost = 
 index:       72, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1568, cost = 
 index:       73, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1584, cost = 
 index:       74, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1550, cost = 
 index:       75, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1569, cost = 
 index:       76, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1575, cost = 
 index:       77, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1597, cost = 
 index:       78, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1612, cost = 
 index:       79, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1547, cost = 
 index:       80, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1565, cost = 
 index:       81, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1584, cost = 
 index:       82, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1602, cost = 
 index:       83, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1617, cost = 
 index:       84, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1560, cost = 
 index:       85, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1579, cost = 
 index:       86, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1598, cost = 
 index:       87, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1467, cost = 
 index:       88, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1494, cost = 
 index:       89, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1513, cost = 
 index:       90, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1532, cost = 
 index:       91, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1535, cost = 
 index:       92, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1553, cost = 
 index:       93, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1572, cost = 
 index:       94, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1590, cost = 
 index:       95, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1606, cost = 
 index:       96, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1572, cost = 
 index:       97, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1591, cost = 
 index:       98, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1596, cost = 
 index:       99, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1618, cost = 
 index:      100, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1633, cost = 
 index:      101, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1568, cost = 
 index:      102, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1586, cost = 
 index:      103, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1605, cost = 
 index:      104, (  61,   4): (  54, 100) --> (1499,   1), goal index:     1623, cost = 
 index:      105, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1638, cost = 
 index:      106, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1582, cost = 
 index:      107, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1601, cost = 
 index:      108, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1620, cost = 
 index:      109, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1489, cost = 
 index:      110, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1516, cost = 
 index:      111, (  60,   4): (  53, 100) --> (1499,   1), goal index:     1535, cost = 
 index:      112, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1554, cost = 
 index:      113, (  59,   4): (  52, 100) --> (1499,   1), goal index:     1557, cost = 
